Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,17,1750,1409,1265,40,282,21,59,158,0,0
C:\Users\cjswo\workspace\SE,17,1750,1409,1265,40,282,21,59,158,0,0
C:\Users\cjswo\workspace\SE\src,17,1750,1409,1265,40,282,21,59,158,0,0
C:\Users\cjswo\workspace\SE\src\manager,1,26,18,16,0,8,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\member,6,569,448,410,14,94,1,27,63,0,0
C:\Users\cjswo\workspace\SE\src\project,4,469,381,341,11,75,10,13,41,0,0
C:\Users\cjswo\workspace\SE\src\user,6,686,562,498,15,105,10,19,54,0,0
